numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0750787Y,LYCEE PROFESSIONNEL,CORVISART-TOLBIAC,61  RUE CORVISART,PARIS,075,75013,LYCEE PROFESSIONNEL CORVISART-TOLBIAC
0750788Z,LYCEE PROFESSIONNEL,MARCEL DEPREZ,39  RUE DE LA ROQUETTE,PARIS,075,75011,LYCEE PROFESSIONNEL MARCEL DEPREZ
0750789A,LYCEE PROFESSIONNEL,LP R. DE DESSIN INDUSTRIEL,5 RUE DES CAMELIAS,PARIS,075,75014,LYCEE PROFESSIONNEL LP R. DE DESSIN INDUSTRIEL
0750791C,LYCEE PROFESSIONNEL,,20 RUE BOURSEUL,PARIS,075,75015,LYCEE PROFESSIONNEL 
0750793E,LP LYCEE DES METIERS,BEAUGRENELLE,62  RUE SAINT CHARLES,PARIS,075,75015,LP LYCEE DES METIERS BEAUGRENELLE
0750794F,LP LYCEE DES METIERS,BRASSAI,8  RUE QUINAULT,PARIS,075,75015,LP LYCEE DES METIERS BRASSAI
0750795G,LYCEE PROFESSIONNEL,.,170 RUE DE TOLBIAC,PARIS,075,75013,LYCEE PROFESSIONNEL .
0750797J,LYCEE PROFESSIONNEL,ALFRED ROLL,24 RUE DUPERRE,PARIS,075,75009,LYCEE PROFESSIONNEL ALFRED ROLL
0740045X,LYCEE GENERAL,J J ROUSSEAU,AVENUE GEN DE GAULLE,THONON LES BAINS,074,74200,LYCEE GENERAL J J ROUSSEAU
0752846L,LP LYCEE DES METIERS,ERIK SATIE,2  RUE PIERRE CASTAGNOU,PARIS,075,75014,LP LYCEE DES METIERS ERIK SATIE
0752847M,LYCEE D ENS.COMMERCIAL,VILLE DE PARIS,23 AVENUE DE SAINT-OUEN,PARIS,075,75017,LYCEE D ENS.COMMERCIAL VILLE DE PARIS
0741355W,LYCEE PROFESSIONNEL PRIVE,SAINT JOSEPH,450,SALLANCHES CEDEX,074,74703,LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH
0751883P,LYCEE TECHNOLOGIQUE PRIVE,INSTITUT PRIVE CLORIVIERE,119  BOULEVARD DIDEROT,PARIS,075,75012,LYCEE TECHNOLOGIQUE PRIVE INSTITUT PRIVE CLORIVIERE
0750442Y,LYCEE D ENS.COMMERCIAL,VILLE DE PARIS,28 RUE DEBELLEYME,PARIS,075,75003,LYCEE D ENS.COMMERCIAL VILLE DE PARIS
0740132S,LYCEE TECHNOLOGIQUE PRIVE,SAINT MICHEL,27 FAUBOURG DES BALMETTES,ANNECY CEDEX,074,74007,LYCEE TECHNOLOGIQUE PRIVE SAINT MICHEL
0740136W,LYCEE PROFESSIONNEL PRIVE,STE NOUVELLE DE ROULEMENTS,1 RUE DES USINES B P 17,ANNECY CEDEX,074,74010,LYCEE PROFESSIONNEL PRIVE STE NOUVELLE DE ROULEMENTS
0740144E,LYCEE PROFESSIONNEL PRIVE,SAINT VINCENT,55 route DE BOSSEY,ST JULIEN EN GENEVOIS CEDE,074,74165,LYCEE PROFESSIONNEL PRIVE SAINT VINCENT
0740148J,LYCEE PROFESSIONNEL PRIVE,LA FONTAINE,CHEMIN DES PRES D'ENFER,FAVERGES SEYTHENEX,074,74210,LYCEE PROFESSIONNEL PRIVE LA FONTAINE
0740152N,LYCEE PROFESSIONNEL PRIVE,CECAM,395 CHEMIN DE BEAUREGARD,ST JEOIRE EN FAUCIGNY,074,74490,LYCEE PROFESSIONNEL PRIVE CECAM
0740156T,LYCEE PROFESSIONNEL PRIVE,JEANNE D ARC,18 BIS AVENUE JULES FERRY,THONON LES BAINS CEDEX,074,74207,LYCEE PROFESSIONNEL PRIVE JEANNE D ARC
0753268V,LYCEE POLYVALENT,JEAN LURCAT,48  AVENUE DES GOBELINS,PARIS,075,75013,LYCEE POLYVALENT JEAN LURCAT
0752590H,LYCEE PROFESSIONNEL PRIVE,FRATELLINI TECHNIQUE DU CIRQUE,2 RUE DE LA CLOTURE,PARIS,075,75019,LYCEE PROFESSIONNEL PRIVE FRATELLINI TECHNIQUE DU CIRQUE
0750587F,LYCEE POLYVALENT,FERNAND HOLWECK,149 RUE DE VAUGIRARD,PARIS,075,75015,LYCEE POLYVALENT FERNAND HOLWECK
0752704G,LYCEE D ENS.INDUSTRIEL,VILLE DE PARIS,119 AVENUE SIMON BOLIVAR,PARIS,075,75019,LYCEE D ENS.INDUSTRIEL VILLE DE PARIS
0754023R,LYCEE TECHNOLOGIQUE PRIVE,NADAUD,8 BIS RUE FONTAINE AU ROI,PARIS,075,75011,LYCEE TECHNOLOGIQUE PRIVE NADAUD
0752070T,COURS DE PROMOTION SOCIALE,LYCEE D ENS.PROFESSIONNEL,70 BIS RUE DE TURBIGO,PARIS,075,75003,COURS DE PROMOTION SOCIALE LYCEE D ENS.PROFESSIONNEL
0740027C,LPO LYCEE DES METIERS,MONT BLANC RENE DAYVE,ALLÉE DES ETUDIANTS,PASSY,074,74190,LPO LYCEE DES METIERS MONT BLANC RENE DAYVE
0750674A,LYCEE TECHNOLOGIQUE,JULES SIEGFRIED,12  RUE D'ABBEVILLE,PARIS,075,75010,LYCEE TECHNOLOGIQUE JULES SIEGFRIED
0750675B,LYCEE GENERAL ET TECHNOLOGIQUE,VOLTAIRE,101  AVENUE DE LA REPUBLIQUE,PARIS,075,75011,LYCEE GENERAL ET TECHNOLOGIQUE VOLTAIRE
0750676C,LPO LYCEE DES METIERS,DORIAN,74  AVENUE PHILIPPE AUGUSTE,PARIS,075,75011,LPO LYCEE DES METIERS DORIAN
0755455X,LYCEE PROFESSIONNEL PRIVE,O.I.I.O,8  RUE EDOUARD LOCKROY,PARIS,075,75011,LYCEE PROFESSIONNEL PRIVE O.I.I.O
0761767H,LYCEE PROFESSIONNEL AGRICOLE,DU PAYS DE BRAY,,BREMONTIER MERVAL,076,76220,LYCEE PROFESSIONNEL AGRICOLE DU PAYS DE BRAY
0753384W,LYCEE GENERAL PRIVE,BETH YACOV,50 BIS RUE DES PRAIRIES,PARIS,075,75020,LYCEE GENERAL PRIVE BETH YACOV
0751708Z,LYCEE POLYVALENT,LOUIS ARMAND,319  RUE LECOURBE,PARIS,075,75015,LYCEE POLYVALENT LOUIS ARMAND
0751709A,LYCEE PROFESSIONNEL,LOUIS ARMAND,319 RUE LECOURBE,PARIS,075,75015,LYCEE PROFESSIONNEL LOUIS ARMAND
0751710B,LP LYCEE DES METIERS,NICOLAS LOUIS VAUQUELIN,13  AVENUE BOUTROUX,PARIS,075,75013,LP LYCEE DES METIERS NICOLAS LOUIS VAUQUELIN
0750773H,LYCEE TECHNOLOGIQUE,-EC.NAT.SUP.DU THEATRE,21 RUE BLANCHE,PARIS,075,75009,LYCEE TECHNOLOGIQUE -EC.NAT.SUP.DU THEATRE
0750775K,LYCEE PROFESSIONNEL,GUSTAVE FERRIE,7  RUE DES ECLUSES ST MARTIN,PARIS,075,75010,LYCEE PROFESSIONNEL GUSTAVE FERRIE
0750777M,LYCEE PROFESSIONNEL,DORIAN,74 AVENUE PHILIPPE AUGUSTE,PARIS,075,75011,LYCEE PROFESSIONNEL DORIAN
0750778N,LP LYCEE DES METIERS,TURQUETIL,18  PASSAGE TURQUETIL,PARIS,075,75011,LP LYCEE DES METIERS TURQUETIL
0750780R,LYCEE PROFESSIONNEL,ELISA LEMONNIER,20 AVENUE ARMAND ROUSSEAU,PARIS,075,75012,LYCEE PROFESSIONNEL ELISA LEMONNIER
0740013M,LPO LYCEE DES METIERS,GUILLAUME FICHET,219 rue DE PRESSY,BONNEVILLE CEDEX,074,74136,LPO LYCEE DES METIERS GUILLAUME FICHET
0740017S,LPO LYCEE DES METIERS,CHARLES PONCET,1  AVENUE CHARLES PONCET,CLUSES CEDEX,074,74302,LPO LYCEE DES METIERS CHARLES PONCET
0753809H,LYCEE GENERAL PRIVE,PAUL CLAUDEL,118  RUE DE GRENELLE,PARIS,075,75007,LYCEE GENERAL PRIVE PAUL CLAUDEL
0762219Z,COURS DE PROMOTION SOCIALE,LYCEE LE HAVRE-CAUCRIAUVILLE,PLACE R SCHUMAN,LE HAVRE,076,76600,COURS DE PROMOTION SOCIALE LYCEE LE HAVRE-CAUCRIAUVILLE
0762220A,COURS DE PROMOTION SOCIALE,LYCEE D ENS.PROF.,17 RUE JACQUARD,LE PETIT QUEVILLY,076,76140,COURS DE PROMOTION SOCIALE LYCEE D ENS.PROF.
0762221B,COURS DE PROMOTION SOCIALE,LYCEE D ENS.PROF.EDMOND LABBE,AVENUE ARISTIDE BRIAND,ST CRESPIN,076,76590,COURS DE PROMOTION SOCIALE LYCEE D ENS.PROF.EDMOND LABBE
0762223D,COURS DE PROMOTION SOCIALE,LYCEE D ENS.PROF.DE MAROMME,1 ROUTE DE DIEPPE,MAROMME,076,76150,COURS DE PROMOTION SOCIALE LYCEE D ENS.PROF.DE MAROMME
0741132D,CENTRE DE PROMOTION SOCIALE,LYCEE TECHNIQUE G.SOMMEILLER,2 BOULEVARD TAINE,ANNECY,074,74000,CENTRE DE PROMOTION SOCIALE LYCEE TECHNIQUE G.SOMMEILLER
0750648X,LYCEE GENERAL,VICTOR HUGO,27  RUE DE SEVIGNE,PARIS,075,75003,LYCEE GENERAL VICTOR HUGO
0750651A,LYCEE GENERAL ET TECHNOLOGIQUE,SIMONE WEIL,7  RUE DE POITOU,PARIS,075,75003,LYCEE GENERAL ET TECHNOLOGIQUE SIMONE WEIL
0750419Y,LYCEE PROFESSIONNEL,CAMILLE JENATZY,6  RUE CHARLES HERMITE,PARIS,075,75018,LYCEE PROFESSIONNEL CAMILLE JENATZY
0750428H,LPO LYCEE DES METIERS,JACQUES MONOD,12  RUE VICTOR COUSIN,PARIS,075,75005,LPO LYCEE DES METIERS JACQUES MONOD
0740276Y,LYCEE PROFESSIONNEL AGRICOLE,CONTAMINE,139  ROUTE MAIRIE,CONTAMINE SUR ARVE,074,74130,LYCEE PROFESSIONNEL AGRICOLE CONTAMINE
0753897D,LYCEE GENERAL PRIVE,SAINT-MICHEL DE PICPUS,53  RUE DE LA GARE DE REUILLY,PARIS,075,75012,LYCEE GENERAL PRIVE SAINT-MICHEL DE PICPUS
0753898E,LYCEE GENERAL PRIVE,E. NAPOLEON ST PIERRE FOURIER,13  RUE DE PRAGUE,PARIS,075,75012,LYCEE GENERAL PRIVE E. NAPOLEON ST PIERRE FOURIER
0753902J,LYCEE GENERAL PRIVE,NOTRE-DAME DE FRANCE,63  RUE DE LA SANTE,PARIS,075,75013,LYCEE GENERAL PRIVE NOTRE-DAME DE FRANCE
0750250P,ECOLE PRIMAIRE PRIVEE,ATRIUM DU LYCEE,13 AVENUE D'ITALIE,PARIS,075,75013,ECOLE PRIMAIRE PRIVEE ATRIUM DU LYCEE
0750680G,LYCEE GENERAL ET TECHNOLOGIQUE,ARAGO,4  PLACE DE LA NATION,PARIS,075,75012,LYCEE GENERAL ET TECHNOLOGIQUE ARAGO
0750681H,LPO LYCEE DES METIERS,BOULLE ESAA,9 rue PIERRE BOURDAN,PARIS,075,75012,LPO LYCEE DES METIERS BOULLE ESAA
0750683K,LYCEE GENERAL,CLAUDE MONET,1 rue DU DOCTEUR MAGNAN,PARIS,075,75013,LYCEE GENERAL CLAUDE MONET
0750684L,LYCEE GENERAL,GABRIEL FAURE,81  AVENUE DE CHOISY,PARIS,075,75013,LYCEE GENERAL GABRIEL FAURE
0731357D,LYCEE TECHNOLOGIQUE PRIVE,ST AMBROISE,2 RUE BURDIN,CHAMBERY CEDEX,073,73025,LYCEE TECHNOLOGIQUE PRIVE ST AMBROISE
0755025E,LYCEE GENERAL PRIVE,HEIKHAL MENAHEM SINAI,110 BOULEVARD DE MENILMONTANT,PARIS,075,75020,LYCEE GENERAL PRIVE HEIKHAL MENAHEM SINAI
0750707L,LYCEE TECHNOLOGIQUE,ECOLE NATIONALE DE COMMERCE,70  BOULEVARD BESSIERES,PARIS,075,75017,LYCEE TECHNOLOGIQUE ECOLE NATIONALE DE COMMERCE
0750708M,LPO LYCEE DES METIERS,JEAN DROUANT,20  RUE MEDERIC,PARIS,075,75017,LPO LYCEE DES METIERS JEAN DROUANT
0750711R,LYCEE GENERAL ET TECHNOLOGIQUE,HENRI BERGSON,27  RUE EDOUARD PAILLERON,PARIS,075,75019,LYCEE GENERAL ET TECHNOLOGIQUE HENRI BERGSON
0750714U,LYCEE GENERAL,HELENE BOUCHER,75  COURS DE VINCENNES,PARIS,075,75020,LYCEE GENERAL HELENE BOUCHER
0754016H,LYCEE POLYVALENT PRIVE,L'INITIATIVE,24  RUE BOURET,PARIS,075,75019,LYCEE POLYVALENT PRIVE L'INITIATIVE
0750685M,LYCEE GENERAL ET TECHNOLOGIQUE,PIERRE-GILLES DE GENNES-ENCPB,11  RUE PIRANDELLO,PARIS,075,75013,LYCEE GENERAL ET TECHNOLOGIQUE PIERRE-GILLES DE GENNES-ENCPB
0750769D,LYCEE PROFESSIONNEL,D ALEMBERT(IND DU CUIR),22 SENTE DES DOREES,PARIS,075,75019,LYCEE PROFESSIONNEL D ALEMBERT(IND DU CUIR)
0750799L,LYCEE PROFESSIONNEL,,23 RUE BOINOD,PARIS,075,75018,LYCEE PROFESSIONNEL 
0750800M,LYCEE PROFESSIONNEL,EDMOND ROSTAND,15  RUE DE L'EVANGILE,PARIS,075,75018,LYCEE PROFESSIONNEL EDMOND ROSTAND
0752231T,COURS DE PROMOTION PRO,LYCEE D ETAT,9  RUE FRANCIS DE CROISSET,PARIS,075,75018,COURS DE PROMOTION PRO LYCEE D ETAT
0753834K,LYCEE GENERAL PRIVE,YABNE,29  AVENUE LEON BOLLEE,PARIS,075,75013,LYCEE GENERAL PRIVE YABNE
0753838P,LYCEE GENERAL PRIVE,SAINT-SULPICE,68  RUE D'ASSAS,PARIS,075,75006,LYCEE GENERAL PRIVE SAINT-SULPICE
0753839R,LYCEE POLYVALENT PRIVE,ADELINE DESIR,50 RUE DE RENNES,PARIS,075,75006,LYCEE POLYVALENT PRIVE ADELINE DESIR
0753842U,LYCEE GEN.ET TECHNOL.PRIVE,NOTRE-DAME DE SION,61  RUE NOTRE DAME DES CHAMPS,PARIS,075,75006,LYCEE GEN.ET TECHNOL.PRIVE NOTRE-DAME DE SION
0753844W,LYCEE GEN.ET TECHNOL.PRIVE,SAINTE-GENEVIEVE,64  RUE D'ASSAS,PARIS,075,75006,LYCEE GEN.ET TECHNOL.PRIVE SAINTE-GENEVIEVE
0753848A,LYCEE GENERAL PRIVE,D'HULST,21  RUE DE VARENNE,PARIS,075,75007,LYCEE GENERAL PRIVE D'HULST
0762348P,ANNEXE LYCEE MARITIME,ANITA CONTI,128 BOULEVARD GEORGES CLEMENCEAU,LE HAVRE,076,76600,ANNEXE LYCEE MARITIME ANITA CONTI
0753231E,LYCEE GENERAL PRIVE,SINAI,2  RUE TRISTAN TZARA,PARIS,075,75018,LYCEE GENERAL PRIVE SINAI
0750329A,LYCEE TECHNOLOGIQUE PRIVE,SAINT-HONORE,117 AVENUE VICTOR HUGO,PARIS,075,75116,LYCEE TECHNOLOGIQUE PRIVE SAINT-HONORE
0750330B,LYCEE TECHNOLOGIQUE PRIVE,EC TECHNIQUE SUP LABORATOIRE,93  RUE DU DESSOUS DES BERGES,PARIS,075,75013,LYCEE TECHNOLOGIQUE PRIVE EC TECHNIQUE SUP LABORATOIRE
0753874D,LYCEE GENERAL PRIVE,ECOLE ACTIVE JEANNINE MANUEL,70  RUE DU THEATRE,PARIS,075,75015,LYCEE GENERAL PRIVE ECOLE ACTIVE JEANNINE MANUEL
0731348U,LYCEE PROFESSIONNEL PRIVE,ST AMBROISE,2 RUE BURDIN,CHAMBERY,073,73000,LYCEE PROFESSIONNEL PRIVE ST AMBROISE
0752697Z,LYCEE PROFESSIONNEL,,93 RUE DE L'OUEST,PARIS,075,75014,LYCEE PROFESSIONNEL 
0752698A,LYCEE PROFESSIONNEL,ANNEXE LEP 0750784V,35 RUE CAVAIGNAC,PARIS,075,75011,LYCEE PROFESSIONNEL ANNEXE LEP 0750784V
0752699B,LYCEE PROFESSIONNEL,ANNEXE LEP 0750799L,112 BOULEVARD BERTHIER,PARIS,075,75017,LYCEE PROFESSIONNEL ANNEXE LEP 0750799L
0752702E,LYCEE PROFESSIONNEL,J-E CHAMPIONNET,113 RUE CHAMPIONNET,PARIS,075,75018,LYCEE PROFESSIONNEL J-E CHAMPIONNET
0762100V,COURS DE PROMOTION SOCIALE,LYCEE D ENS.PROF.MONT-JOLY,16 RUE DE LA VALLEE,LE HAVRE,076,76600,COURS DE PROMOTION SOCIALE LYCEE D ENS.PROF.MONT-JOLY
0754012D,LYCEE TECHNOLOGIQUE PRIVE,DE PASSY,60 RUE RAYNOUARD,PARIS,075,75016,LYCEE TECHNOLOGIQUE PRIVE DE PASSY
0754015G,LYCEE POLYVALENT PRIVE,JULES RICHARD MICROTECHNIQUES,21  RUE CARDUCCI,PARIS,075,75019,LYCEE POLYVALENT PRIVE JULES RICHARD MICROTECHNIQUES
0753915Y,LYCEE GENERAL PRIVE,BLOMET,5  RUE BLOMET,PARIS,075,75015,LYCEE GENERAL PRIVE BLOMET
0753919C,LYCEE GENERAL PRIVE,PASCAL,33  BOULEVARD LANNES,PARIS,075,75016,LYCEE GENERAL PRIVE PASCAL
0762200D,LYCEE PROFESSIONNEL,,PLACE PASTEUR,NOTRE DAME DE GRAVENCHON,076,76330,LYCEE PROFESSIONNEL 
0754860A,LYCEE GENERAL PRIVE,THERESE CHAPPUIS,52  RUE VANEAU,PARIS,075,75007,LYCEE GENERAL PRIVE THERESE CHAPPUIS
0750699C,LYCEE GENERAL,JANSON DE SAILLY,106  RUE DE LA POMPE,PARIS,075,75016,LYCEE GENERAL JANSON DE SAILLY
0750700D,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN-BAPTISTE SAY,11 BIS RUE D'AUTEUIL,PARIS,075,75016,LYCEE GENERAL ET TECHNOLOGIQUE JEAN-BAPTISTE SAY
0750701E,LYCÉE D'ETAT,JEAN ZAY INTERNAT D'EXCELLENCE,10  RUE DU DOCTEUR BLANCHE,PARIS,075,75016,LYCÉE D'ETAT JEAN ZAY INTERNAT D'EXCELLENCE
0750703G,LYCEE GENERAL,MOLIERE,71  RUE DU RANELAGH,PARIS,075,75016,LYCEE GENERAL MOLIERE
0750704H,LYCEE GENERAL,CARNOT,145  BOULEVARD MALESHERBES,PARIS,075,75017,LYCEE GENERAL CARNOT
0750705J,LYCEE GENERAL ET TECHNOLOGIQUE,HONORE DE BALZAC,118  BOULEVARD BESSIERES,PARIS CEDEX 17,075,75849,LYCEE GENERAL ET TECHNOLOGIQUE HONORE DE BALZAC
0754224J,LYCEE PROFESSIONNEL PRIVE,SAINTE-THERESE,40 RUE LA FONTAINE,PARIS,075,75016,LYCEE PROFESSIONNEL PRIVE SAINTE-THERESE
0754965P,LYCEE GEN.ET TECHNOL.PRIVE,LUCIEN DE HIRSCH,70  AVENUE SECRETAN,PARIS,075,75019,LYCEE GEN.ET TECHNOL.PRIVE LUCIEN DE HIRSCH
0760088H,LYCEE PROFESSIONNEL,ELISA LEMONNIER,59 boulevard CHARLES DE GAULLE,LE PETIT QUEVILLY CEDEX,076,76141,LYCEE PROFESSIONNEL ELISA LEMONNIER
0760090K,LYCEE GENERAL,PIERRE CORNEILLE,4  RUE DU MAULEVRIER,ROUEN CEDEX,076,76044,LYCEE GENERAL PIERRE CORNEILLE
0760093N,LYCEE GENERAL,CAMILLE SAINT-SAENS,22  RUE SAINT-LO,ROUEN CEDEX,076,76005,LYCEE GENERAL CAMILLE SAINT-SAENS
0760095R,LYCEE POLYVALENT,BLAISE PASCAL,5  RUE DES EMMUREES,ROUEN CEDEX,076,76174,LYCEE POLYVALENT BLAISE PASCAL
0760096S,LYCEE GENERAL ET TECHNOLOGIQUE,GUSTAVE FLAUBERT,1  RUE ALBERT DUPUIS,ROUEN CEDEX,076,76044,LYCEE GENERAL ET TECHNOLOGIQUE GUSTAVE FLAUBERT
0333260P,SECTION D'APPRENTISSAGE,LYCEE PAPE CLEMENT,1 RUE LEO LAGRANGE,PESSAC CEDEX,033,33605,SECTION D'APPRENTISSAGE LYCEE PAPE CLEMENT
0751751W,COURS DE PROMOTION PRO,LYCEE TECHNIQUE,14 RUE EMILE DUBOIS,PARIS,075,75014,COURS DE PROMOTION PRO LYCEE TECHNIQUE
0754475G,LPO LYCEE DES METIERS,LEONARD DE VINCI,20  RUE BOURSEUL,PARIS,075,75015,LPO LYCEE DES METIERS LEONARD DE VINCI
0754479L,LYCEE GENERAL PRIVE,OZAR HATORAH,34  RUE DU MOULIN JOLY,PARIS,075,75011,LYCEE GENERAL PRIVE OZAR HATORAH
0753880K,LYCEE GENERAL PRIVE,SAINT-LOUIS,50 RUE DE CLICHY,PARIS,075,75009,LYCEE GENERAL PRIVE SAINT-LOUIS
0755121J,LYCEE TECHNOLOGIQUE PRIVE,SINAI,9 RUE JACQUES IBERT,PARIS,075,75017,LYCEE TECHNOLOGIQUE PRIVE SINAI
0762765T,LP LYCEE DES METIERS,ANTOINE-LAURENT LAVOISIER,51  RUE DES MOTEAUX,LE HAVRE,076,76620,LP LYCEE DES METIERS ANTOINE-LAURENT LAVOISIER
0760052U,LYCEE GENERAL,FRANCOIS 1ER,2 rue JEAN-PAUL SARTRE,LE HAVRE CEDEX,076,76066,LYCEE GENERAL FRANCOIS 1ER
0752426E,LYCEE PROFESSIONNEL AGRICOLE,DU BREUIL-EC.HORT.ET ARBOR.,ROUTE DE LA FERME,PARIS,075,75012,LYCEE PROFESSIONNEL AGRICOLE DU BREUIL-EC.HORT.ET ARBOR.
0754087K,LYCEE GENERAL PRIVE,MAITRISE DE MONTMARTRE,7 RUE SAINT VINCENT,PARIS,075,75018,LYCEE GENERAL PRIVE MAITRISE DE MONTMARTRE
0754030Y,LYCEE POLYVALENT PRIVE,ALBERT DE MUN,2  RUE D'OLIVET,PARIS,075,75007,LYCEE POLYVALENT PRIVE ALBERT DE MUN
0761742F,LYCEE GENERAL ET TECHNOLOGIQUE,VAL DE SEINE,AVENUE GEORGES BRAQUE,LE GRAND QUEVILLY CEDEX,076,76124,LYCEE GENERAL ET TECHNOLOGIQUE VAL DE SEINE
0760030V,LPO LYCEE DES METIERS,FERDINAND BUISSON,6 rue AUGUSTE HOUZEAU,ELBEUF CEDEX,076,76504,LPO LYCEE DES METIERS FERDINAND BUISSON
0760032X,LPO LYCEE DES METIERS,ANGUIER,Place GASTON LEROUX,EU,076,76260,LPO LYCEE DES METIERS ANGUIER
0760035A,LYCEE GENERAL ET TECHNOLOGIQUE,GUY DE MAUPASSANT,1575  BOULEVARD NELSON MANDELA,FECAMP CEDEX,076,76401,LYCEE GENERAL ET TECHNOLOGIQUE GUY DE MAUPASSANT
0760036B,LYCEE PROFESSIONNEL,DESCARTES,1575  BOULEVARD NELSON MANDELA,FECAMP CEDEX,076,76401,LYCEE PROFESSIONNEL DESCARTES
0760047N,LYCEE PROFESSIONNEL,HENRI FAYOL,4 AVENUE DU MAL LECLERC BP.4,GRAND COURONNE,076,76530,LYCEE PROFESSIONNEL HENRI FAYOL
0771246L,LYCEE GENERAL PRIVE,BOSSUET,12 RUE DE LA VISITATION,MEAUX CEDEX,077,77109,LYCEE GENERAL PRIVE BOSSUET
0771247M,LYCEE GENERAL PRIVE,SAINTE MARIE,41 RUE DE CHAAGE,MEAUX CEDEX,077,77109,LYCEE GENERAL PRIVE SAINTE MARIE
0760054W,LYCEE POLYVALENT,PORTE OCEANE,44 RUE EMILE ZOLA,LE HAVRE,076,76600,LYCEE POLYVALENT PORTE OCEANE
0760056Y,LYCEE TECHNOLOGIQUE,JULES SIEGFRIED,1 rue DUME D'APLEMONT,LE HAVRE CEDEX,076,76054,LYCEE TECHNOLOGIQUE JULES SIEGFRIED
0760059B,LYCEE PROFESSIONNEL,AUGUSTE PERRET,PLACE ROBERT SCHUMANN,LE HAVRE,076,76610,LYCEE PROFESSIONNEL AUGUSTE PERRET
0760061D,LYCEE PROFESSIONNEL,FRANCOISE DE GRACE,85 RUE AMAND AGASSE,LE HAVRE,076,76600,LYCEE PROFESSIONNEL FRANCOISE DE GRACE
0760062E,LP LYCEE DES METIERS,JULES LE CESNE,33  RUE FLEURUS,LE HAVRE,076,76600,LP LYCEE DES METIERS JULES LE CESNE
0760072R,LYCEE GENERAL ET TECHNOLOGIQUE,GUILLAUME LE CONQUERANT,ALLÉE DE LA COTE BLANCHE,LILLEBONNE,076,76170,LYCEE GENERAL ET TECHNOLOGIQUE GUILLAUME LE CONQUERANT
0760076V,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN PREVOST,Avenue JEAN PREVOST,MONTIVILLIERS,076,76290,LYCEE GENERAL ET TECHNOLOGIQUE JEAN PREVOST
0760082B,LP LYCEE DES METIERS,JEAN ROSTAND,501 rue du Château,OFFRANVILLE,076,76550,LP LYCEE DES METIERS JEAN ROSTAND
0760087G,LP LYCEE DES METIERS,COLBERT,197  AVENUE DES ALLIÉS,LE PETIT QUEVILLY CEDEX,076,76141,LP LYCEE DES METIERS COLBERT
0752845K,LYCEE PROFESSIONNEL,THEOPHILE GAUTIER,49  RUE DE CHARENTON,PARIS,075,75012,LYCEE PROFESSIONNEL THEOPHILE GAUTIER
0740003B,LYCEE GENERAL,CLAUDE LOUIS BERTHOLLET,9 boulevard DU LYCEE,ANNECY CEDEX,074,74008,LYCEE GENERAL CLAUDE LOUIS BERTHOLLET
0740005D,LYCEE GENERAL ET TECHNOLOGIQUE,GABRIEL FAURE,2 avenue DU RHONE,ANNECY CEDEX,074,74008,LYCEE GENERAL ET TECHNOLOGIQUE GABRIEL FAURE
0740006E,LPO LYCEE DES METIERS,LOUIS LACHENAL,335  ROUTE CHAMP FARCON,PRINGY CEDEX,074,74371,LPO LYCEE DES METIERS LOUIS LACHENAL
0740010J,LYCEE PROFESSIONNEL,LE SALEVE,59 route D' ETREMBIERES,ANNEMASSE CEDEX,074,74107,LYCEE PROFESSIONNEL LE SALEVE
0753933T,LYCEE GENERAL PRIVE,SAINT-LOUIS DE GONZAGUE,12  RUE BENJAMIN FRANKLIN,PARIS,075,75016,LYCEE GENERAL PRIVE SAINT-LOUIS DE GONZAGUE
0753537M,LYCEE TECHNOLOGIQUE PRIVE,EC SUP TECH BIOLOGIE APPLIQUEE,56 RUE PLANCHAT,PARIS,075,75020,LYCEE TECHNOLOGIQUE PRIVE EC SUP TECH BIOLOGIE APPLIQUEE
0754325U,LYCEE GENERAL PRIVE,BETH HANNA,49  RUE PETIT,PARIS,075,75019,LYCEE GENERAL PRIVE BETH HANNA
0752388N,LYCEE PROFESSIONNEL,PIERRE LESCOT,35  RUE DES BOURDONNAIS,PARIS,075,75001,LYCEE PROFESSIONNEL PIERRE LESCOT
0752608C,LP LYCEE DES METIERS,BELLIARD,135  RUE BELLIARD,PARIS,075,75018,LP LYCEE DES METIERS BELLIARD
0752610E,LYCEE PROFESSIONNEL,MARTIN NADAUD,23 RUE DE LA BIDASSOA,PARIS,075,75020,LYCEE PROFESSIONNEL MARTIN NADAUD
0760132F,LP LYCEE DES METIERS,JULES SIEGFRIED,1 rue DUME D'APLEMONT,LE HAVRE CEDEX,076,76054,LP LYCEE DES METIERS JULES SIEGFRIED
0760142S,LYCEE PROFESSIONNEL,GUSTAVE FLAUBERT,1  RUE ALBERT DUPUIS,ROUEN CEDEX,076,76044,LYCEE PROFESSIONNEL GUSTAVE FLAUBERT
0760143T,LYCEE PROF PRIVE DES METIERS,ECOLE INDUSTRIELLE,50 RUE MERIDIENNE,ROUEN,076,76100,LYCEE PROF PRIVE DES METIERS ECOLE INDUSTRIELLE
