numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0331760J,LYCEE GENERAL ET TECHNOLOGIQUE,FERNAND DAGUIN,15  RUE GUSTAVE FLAUBERT,MERIGNAC CEDEX,033,33698,LYCEE GENERAL ET TECHNOLOGIQUE FERNAND DAGUIN
0320023B,LYCEE POLYVALENT,ALAIN-FOURNIER,AVENUE LAPLAGNE,MIRANDE,032,32300,LYCEE POLYVALENT ALAIN-FOURNIER
0320030J,LP LYCEE DES METIERS,CLEMENT ADER,10  RUE DU CHEMIN NEUF,SAMATAN,032,32130,LP LYCEE DES METIERS CLEMENT ADER
0292047T,LYCEE GENERAL ET TECHNOLOGIQUE,DU LEON,25 boulevard DE LA REPUBLIQUE,LANDIVISIAU CEDEX,029,29406,LYCEE GENERAL ET TECHNOLOGIQUE DU LEON
0300047N,LP LYCEE DES METIERS,D'ART GEORGES GUYNEMER,1  PLACE DE VERDUN,UZES CEDEX,030,30703,LP LYCEE DES METIERS D'ART GEORGES GUYNEMER
0301605G,EMOP BUREAUTIQUE AUDIOVISUEL,LYCEE J B DUMAS,PLACE BELGIQUE LYC J B DUMAS,ALES CEDEX,030,30104,EMOP BUREAUTIQUE AUDIOVISUEL LYCEE J B DUMAS
0301613R,EMOP ELECTRICITE CABLAGE,LYCEE J B DUMAS,PLACE DE LA BELGIQUE,ALES CEDEX,030,30104,EMOP ELECTRICITE CABLAGE LYCEE J B DUMAS
0320054K,LYCEE GENERAL PRIVE,SAINT-JOSEPH,1 RUE DE L'ABBE TOURNIER,LECTOURE,032,32700,LYCEE GENERAL PRIVE SAINT-JOSEPH
0300058A,LP LYCEE DES METIERS,FREDERIC MISTRAL,457 ancienne route DE GENERAC,NIMES CEDEX 2,030,30913,LP LYCEE DES METIERS FREDERIC MISTRAL
0292141V,LYCEE PROFESSIONNEL PRIVE,ESTRAN ST JOSEPH,240 RUE JEAN JAURES,BREST CEDEX 2,029,29287,LYCEE PROFESSIONNEL PRIVE ESTRAN ST JOSEPH
0300080Z,LYCEE POLYVALENT PRIVE,EMMANUEL D ALZON,11  RUE SAINTE PERPETUE,NIMES CEDEX 1,030,30020,LYCEE POLYVALENT PRIVE EMMANUEL D ALZON
0300950V,LYCEE POLYVALENT,ALBERT EINSTEIN,354 avenue COMMANDO VIGAN-BRAQUE,BAGNOLS SUR CEZE CEDEX,030,30205,LYCEE POLYVALENT ALBERT EINSTEIN
0292158N,LYCEE PROFESSIONNEL PRIVE,ST ESPRIT,3 RUE EMILE SOUVESTRE,LANDIVISIAU CEDEX,029,29403,LYCEE PROFESSIONNEL PRIVE ST ESPRIT
0332870R,LPO LYCEE DES METIERS,DE LA MER,Port DE LA BARBOTIERE,GUJAN MESTRAS,033,33470,LPO LYCEE DES METIERS DE LA MER
0332346W,LYCEE PROFESSIONNEL,PHILIPPE COUSTEAU,Rue ARNAUDIN,ST ANDRE DE CUBZAC,033,33240,LYCEE PROFESSIONNEL PHILIPPE COUSTEAU
0330032F,LYCEE PROFESSIONNEL,NICOLAS BREMONTIER,152 cours DE L YSER,BORDEAUX,033,33800,LYCEE PROFESSIONNEL NICOLAS BREMONTIER
0330076D,LP LYCEE DES METIERS,INDUSTRIE ET ARTISANAT C.PEGUY,2 RUE DU COLLEGE TECHNIQUE,EYSINES CEDEX,033,33327,LP LYCEE DES METIERS INDUSTRIE ET ARTISANAT C.PEGUY
0330088S,LYCEE GENERAL ET TECHNOLOGIQUE,MAX LINDER,43  ALLÉE ROBERT BOULIN,LIBOURNE CEDEX,033,33505,LYCEE GENERAL ET TECHNOLOGIQUE MAX LINDER
0301722J,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN VILAR,616 avenue DR PAUL GACHE,VILLENEUVE LES AVIGNON,030,30400,LYCEE GENERAL ET TECHNOLOGIQUE JEAN VILAR
0311692W,LYCEE POLYVALENT PRIVE,SOCIAL FAMILIAL,50 RUE DE LIMAYRAC,TOULOUSE,031,31500,LYCEE POLYVALENT PRIVE SOCIAL FAMILIAL
0312579K,LYCEE PROFESSIONNEL PRIVE,DYNAMECA,75  AVENUE DE GRANDE BRETAGNE,TOULOUSE,031,31300,LYCEE PROFESSIONNEL PRIVE DYNAMECA
0312686B,LPO LYCEE DES METIERS,SAINT-EXUPERY,1 place ALAIN SAVARY,BLAGNAC CEDEX,031,31703,LPO LYCEE DES METIERS SAINT-EXUPERY
0312759F,LPO LYCEE DES METIERS,JOSEPH GALLIENI,79  ROUTE D'ESPAGNE,TOULOUSE CEDEX 1,031,31047,LPO LYCEE DES METIERS JOSEPH GALLIENI
